"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000222","Weights +/-25%",9546,3,8933,9574,10195.3,1262.3,0.935,0,0
"E01000223","Weights +/-25%",5458,2,5063.95,5481.5,5928.15,864.199999999999,1,0,1
"E01000224","Weights +/-25%",8840,3,8143.6,8885.5,9638.15,1494.55,0.998,0,0
"E01000225","Weights +/-25%",15941,5,15237.45,15963,16700.2,1462.75,0.98,0,0
"E01000226","Weights +/-25%",6353,2,5844.95,6358.5,6872,1027.05,0.899,0,0.899
"E01000227","Weights +/-25%",23509,7,22784.85,23498.5,24202.1,1417.25,0.61,0,0
"E01000228","Weights +/-25%",17707,6,16529.6,17743,18973.1,2443.5,0.868,0,0
"E01000229","Weights +/-25%",8616,3,7781.95,8637.5,9543.25,1761.3,1,0,0
"E01000230","Weights +/-25%",16377,5,15457.5,16419.5,17366.05,1908.55,0.772,0,0
"E01000231","Weights +/-25%",12266,4,11294.7,12309.5,13244.65,1949.95,0.989,0,0
"E01000232","Weights +/-25%",16265,5,15584.95,16282,16975.05,1390.1,0.926,0,0
"E01000233","Weights +/-25%",23211,7,22616.85,23260,23876,1259.15,0.846,0,0
"E01000234","Weights +/-25%",19832,6,19073.65,19827.5,20535.25,1461.6,0.843,0,0
"E01000235","Weights +/-25%",11785,4,11298.85,11811.5,12290.15,991.299999999999,1,0,0
"E01000236","Weights +/-25%",11276,4,10532.85,11311.5,12081.15,1548.3,0.995,0,0
"E01000237","Weights +/-25%",13294,4,12608.75,13343,14019.35,1410.6,0.673,0,0
"E01000238","Weights +/-25%",13608,5,12969.95,13629.5,14271.1,1301.15,0.637,0,0
"E01000239","Weights +/-25%",10513,4,9790.3,10543,11248.25,1457.95,0.815,0,0
"E01000240","Weights +/-25%",10468,4,9717.35,10499,11208.1,1490.75,0.753,0,0
"E01000241","Weights +/-25%",18025,6,17369.9,18061,18711.45,1341.55,1,0,0
"E01000242","Weights +/-25%",19152,6,18408.75,19159,19913.35,1504.6,0.994,0,0
"E01000243","Weights +/-25%",11123,4,10520.9,11148,11767.45,1246.55,0.997,0,0
"E01000244","Weights +/-25%",11148,4,10402.95,11166.5,11878.05,1475.1,0.988,0,0
"E01000245","Weights +/-25%",7294,3,6874.95,7304,7703.35,828.4,0.988,0,0.012
"E01000246","Weights +/-25%",26905,8,26387.65,26909,27419.05,1031.4,0.606,0,0
"E01000247","Weights +/-25%",21123,7,20655.95,21151,21599.1,943.149999999998,1,0,0
"E01000248","Weights +/-25%",23071,7,22190.3,23104,24053,1862.7,0.778,0,0
"E01000249","Weights +/-25%",31123,10,30732.8,31124.5,31455.05,722.25,1,0,0
"E01000250","Weights +/-25%",19311,6,18701.95,19305,19867.1,1165.15,0.999,0,0
"E01000251","Weights +/-25%",11137,4,10644,11154,11653.05,1009.05,1,0,0
"E01000252","Weights +/-25%",18199,6,17738.95,18226,18727.4,988.450000000001,1,0,0
"E01000253","Weights +/-25%",30230,9,29816.9,30227,30602.25,785.349999999999,0.729,0,0
"E01000254","Weights +/-25%",28838,9,28029.95,28844,29593.2,1563.25,1,0,0
"E01000255","Weights +/-25%",13313,4,12606.85,13330,14074.3,1467.45,0.62,0,0
"E01000256","Weights +/-25%",19859,6,18992.85,19857,20658.25,1665.4,0.762,0,0
"E01000257","Weights +/-25%",12991,4,12548.95,13023,13498.1,949.149999999998,0.953,0,0
